2023-03-09 17:22:53.422,2057
2023-03-09 17:23:03.422,2063
2023-03-09 17:23:13.422,2037
2023-03-09 17:23:23.423,2057
2023-03-09 17:23:33.423,2115
2023-03-09 17:23:43.423,2113
2023-03-09 17:23:53.423,2115
2023-03-09 17:24:03.423,2115
2023-03-09 17:24:13.423,2111
2023-03-09 17:24:23.423,2112
2023-03-09 17:24:33.423,2094
2023-03-09 17:24:43.423,2112
2023-03-09 17:24:53.424,2102
2023-03-09 17:25:03.424,2114
2023-03-09 17:25:13.424,2112
2023-03-09 17:25:23.424,2112
2023-03-09 17:25:33.424,2112
2023-03-09 17:25:43.424,2112
2023-03-09 17:25:53.424,2114
2023-03-09 17:26:03.424,2112
2023-03-09 17:26:13.488,2105
2023-03-09 17:26:23.488,2112
2023-03-09 17:26:33.488,2110
2023-03-09 17:26:43.488,2107
2023-03-09 17:26:53.489,2109
2023-03-09 17:27:03.489,2110
2023-03-09 17:27:13.489,2117
2023-03-09 17:27:23.490,2116
2023-03-09 17:27:33.489,2114
2023-03-09 17:27:43.489,2093
2023-03-09 17:27:53.490,2075
2023-03-09 17:28:03.490,2085
2023-03-09 17:28:13.490,2073
2023-03-09 17:28:23.490,2062
2023-03-09 17:28:33.490,2089
2023-03-09 17:28:43.490,2091
2023-03-09 17:28:53.491,2081
2023-03-09 17:29:03.491,2087
2023-03-09 17:29:13.491,2089
2023-03-09 17:29:23.491,2089
2023-03-09 17:29:33.492,2083
2023-03-09 17:29:43.491,2085
2023-03-09 17:29:53.492,2089
2023-03-09 17:30:03.492,2086
2023-03-09 17:30:13.492,2082
2023-03-09 17:30:23.492,2079
2023-03-09 17:30:33.492,2081
2023-03-09 17:30:43.492,2082
2023-03-09 17:30:53.493,2057
2023-03-09 17:31:03.493,2027
2023-03-09 17:31:13.493,2081
2023-03-09 17:31:23.493,2063
2023-03-09 17:31:33.493,2046
2023-03-09 17:31:43.494,2037
2023-03-09 17:31:53.494,2043
2023-03-09 17:32:03.494,2029
2023-03-09 17:32:13.494,2032
2023-03-09 17:32:23.494,2030
2023-03-09 17:32:33.494,2019
2023-03-09 17:32:43.494,2029
2023-03-09 17:32:53.495,2013
2023-03-09 17:33:03.496,2000
2023-03-09 17:33:13.495,2006
2023-03-09 17:33:23.495,2030
2023-03-09 17:33:33.495,2053
2023-03-09 17:33:43.495,2019
2023-03-09 17:33:53.496,2032
2023-03-09 17:34:03.496,2054
2023-03-09 17:34:13.496,2057
2023-03-09 17:34:23.496,2038
2023-03-09 17:34:33.496,2041
